"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Кабо-Верде;16.04.2021;19975;17870;189;195;68;1
Сейшельские острова;23.12.2020;211;184;0;9;0;0
Уругвай;28.09.2020;2010;1755;47;2;27;0
Япония;27.01.2021;377056;308008;5388;3974;6624;90
Норвегия;19.10.2020;16603;11863;278;146;0;0
Вьетнам;04.06.2021;8364;3242;51;301;157;2
Нигерия;25.02.2021;154476;131699;1891;634;881;6
Соломоновы острова;07.09.2020;0;0;0;0;0;0
Чили;28.03.2021;977243;912058;22754;7330;6623;101
Азербайджан;11.04.2021;285993;250708;3915;2414;1695;36
Исландия;21.08.2020;2050;1920;10;10;7;0
Папский Престол;23.09.2020;12;12;0;0;0;0
Польша;18.12.2020;1182864;915576;24771;11010;12227;426
Сан-Томе и Принсипи;29.03.2021;2215;2064;34;3;6;0
Румыния;11.06.2021;1079530;1043803;31681;103;199;150
Эритрея;22.06.2021;5508;5016;21;87;119;2
Марокко;12.09.2020;84435;65867;1553;2238;1673;29
Парагвай;14.02.2021;144042;120611;2936;599;942;16
Панама;16.11.2020;147667;126746;2881;1014;1376;8
Гондурас;10.01.2021;127945;58788;3273;1002;0;9
Сент-Люсия;24.07.2020;24;22;0;0;0;0
Косово и Метохия;15.07.2020;5237;2462;112;119;92;4
Судан;14.02.2021;29933;22208;1849;0;0;0
Камерун;30.10.2020;21793;20117;426;0;0;0
Турция;07.10.2020;329138;288954;8609;1581;1355;56
Киргизия;15.10.2020;50589;45080;1099;388;196;5
Швеция;16.12.2020;348585;0;7802;7556;0;288
Ирак;30.03.2021;844260;755350;14286;5995;4915;37
Колумбия;20.08.2020;513719;339124;16183;11541;12826;204
Джибути;28.01.2021;5929;5845;62;3;1;0
Мальта;01.03.2021;22657;19663;316;175;216;1
Гренада;27.02.2021;148;147;1;0;0;0
Израиль;29.04.2021;838407;830530;6362;84;156;1
Казахстан;04.11.2020;152022;136038;2259;701;309;0
Мексика;12.01.2021;1556028;1168354;135682;14395;7981;1314
Бразилия;23.06.2021;18169881;16008271;507109;115228;146175;2392
Мали;11.02.2021;8218;6110;340;15;10;1
Кувейт;20.03.2021;217933;202208;1215;1347;1386;5
Хорватия;05.07.2020;3151;2196;113;57;13;0
Китай;19.05.2021;105330;98711;4860;286;24;0
Северная Македония;07.03.2021;107163;94729;3195;331;268;10
Таджикистан;07.04.2021;13714;13218;91;0;0;0
Коморские острова;30.11.2020;611;586;7;0;0;0
Испания;30.11.2020;1648187;150376;45069;19979;0;401
Барбадос;29.11.2020;275;250;7;5;1;0
Белиз;25.04.2021;12599;12168;321;0;0;0
Италия;23.09.2020;302537;220665;35758;1640;995;20
Доминиканская Республика;02.05.2021;267455;227924;3493;594;657;6
Болгария;25.08.2020;15589;10601;572;203;104;9
Судно "Diamond Princess";23.07.2020;712;651;13;0;0;0
Намибия;10.05.2021;50209;47384;691;139;84;2
Гамбия;11.01.2021;3857;3677;125;0;0;0
Венгрия;24.05.2021;802346;670205;29560;258;1385;41
Палау;21.10.2020;0;0;0;0;0;0
Венесуэла;29.11.2020;102040;96652;894;280;0;2
Индонезия;09.09.2020;203342;145200;8336;3307;2242;106
Южный Судан;14.06.2021;10688;10514;115;0;0;0
Южная Корея;11.06.2021;147422;138037;1982;563;813;1
Республика Конго;04.05.2021;11016;8208;147;0;0;0
Дания;18.03.2021;224107;212650;2398;786;606;1
ЮАР;26.03.2021;1543079;1469565;52602;1516;2311;67
Тринидад и Тобаго;19.04.2021;8964;7976;154;24;36;1
Нидерланды;01.07.2020;50545;186;6134;62;0;2
Словения;17.03.2021;202573;188315;3948;1076;1203;7
Россия;17.05.2021;4892938;4511096;114263;9204;7151;336
Австралия;09.04.2021;29396;23080;909;6;9;0
Беларусь;11.09.2020;73784;72369;738;193;166;6
Литва;18.08.2020;2467;1773;64;37;5;0
Куба;07.08.2020;2829;2429;88;54;20;0
Лесото;02.06.2021;10831;6434;326;0;0;0
Мальдивы;04.03.2021;20447;17712;64;167;117;1
Зимбабве;13.02.2021;35104;30089;1398;59;130;5
Ливан;18.11.2020;110037;62528;852;2084;133;13
Summer Olympics 2020;13.06.2021;0;0;0;0;0;0
Бурунди;11.12.2020;723;640;1;3;10;0
Катар;09.10.2020;127600;124559;219;206;232;1
Узбекистан;20.04.2021;87225;84533;639;243;226;1
Португалия;01.08.2020;51310;36783;1737;238;300;2
Йемен;28.01.2021;2120;1425;615;0;0;0
Малави;22.02.2021;30942;17184;1021;200;344;8
Ботсвана;22.01.2021;19654;15911;105;0;0;0
Непал;22.01.2021;268948;263348;1986;302;480;7
Саудовская Аравия;20.02.2021;374691;365745;6457;325;382;3
Ливия;14.01.2021;107434;84245;1645;764;934;16
Новая Зеландия;09.05.2021;2644;2591;26;2;2;0
Суринам;22.12.2020;5669;5323;118;86;27;0
Гаити;08.11.2020;9127;7618;232;18;0;0
Ямайка;19.12.2020;12135;8812;285;96;144;2
Нигер;15.05.2021;5330;4953;192;4;17;0
Пакистан;15.09.2020;303089;290760;6393;665;499;4
Сан-Марино;13.02.2021;3278;2956;72;31;0;0
Того;29.05.2021;13432;12644;125;0;0;0
Индия;21.03.2021;11646081;11151468;159967;46951;21180;212
Сомали;14.02.2021;5183;3739;152;91;6;4
Аргентина;01.03.2021;2112023;1911338;52077;4658;6317;112
Эсватини;23.04.2021;18434;17730;671;8;8;0
Мадагаскар;21.07.2020;7548;4286;65;395;498;3
Бангладеш;30.09.2020;363479;275487;5251;1436;1789;32
Канада;10.12.2020;447341;361020;13227;6604;5619;118
Замбия;30.07.2020;5555;3289;149;306;4;3
Мозамбик;25.10.2020;11986;9253;86;91;9;1
Никарагуа;03.02.2021;6299;4225;170;0;0;0
Сенегал;05.07.2020;7400;4870;133;128;157;4
Тонга;06.03.2021;0;0;0;0;0;0
Украина;13.04.2021;1925224;1478945;39477;11809;14155;465
Сальвадор;10.12.2020;40946;37172;1180;205;0;6
Ирландия;01.12.2020;72798;23364;2069;254;0;16
Бахрейн;06.03.2021;126126;119047;469;612;746;1
Восточный Тимор;15.07.2020;24;24;0;0;0;0
Самоа;01.01.2021;2;2;0;0;0;0
Антигуа и Барбуда;19.10.2020;119;101;3;0;0;0
Черногория;17.08.2020;4085;2986;80;50;76;3
Великобритания;16.02.2021;4070336;11026;118421;10636;63;799
Филиппины;05.07.2020;44254;11942;1297;2424;489;7
Боливия;30.09.2020;135311;95529;7965;670;634;34
Афганистан;21.10.2020;40461;33824;1503;0;34;0
Вануату;17.06.2021;4;3;1;0;0;0
Либерия;11.06.2021;2382;2065;88;0;8;0
Мьянма;11.04.2021;142576;131853;3206;4;7;0
Молдавия;31.01.2021;159804;150090;3438;291;528;4
Босния и Герцеговина;30.09.2020;27469;20616;856;243;294;13
Гвинея;12.01.2021;14025;13255;81;45;22;0
Гватемала;07.02.2021;163137;149342;5884;200;425;30
Сент-Винсент и Гренадины;23.07.2020;52;37;0;0;0;0
Экваториальная Гвинея;30.12.2020;5264;5123;86;16;26;0
Тунис;18.12.2020;117582;87884;4090;1616;0;58
Иран;14.08.2020;338825;293811;19331;2501;1753;169
Египет;18.08.2020;96753;61562;5184;163;911;11
Греция;09.02.2021;166067;93764;6017;1492;0;20
Ангола;09.07.2020;396;117;22;10;0;1
Сингапур;19.08.2020;56031;52810;27;93;277;0
Бенин;31.01.2021;3893;3421;52;107;23;4
Таджикистан;29.08.2020;8481;7309;68;32;33;0
Китай;03.08.2020;88573;81554;4679;113;95;3
Северная Македония;29.09.2020;17786;14801;737;112;159;8
Хорватия;25.06.2021;359521;350773;8196;118;104;4
Панама;22.06.2021;395449;378109;6483;1208;866;6
Папуа — Новая Гвинея;16.07.2020;11;8;0;0;0;0
Судно "MS Zaandam";23.12.2020;9;7;2;0;0;0
Бразилия;07.07.2020;1668589;1107012;66741;45305;44470;1254
Западный берег реки Иордан;06.06.2021;310026;301881;3517;173;211;1
Болгария;03.04.2021;352259;269575;13507;1919;3484;69
Судно "Diamond Princess";06.05.2021;712;699;13;0;0;0
Доминиканская Республика;21.09.2020;108783;82274;2054;494;606;7
Швеция;23.05.2021;1058341;0;14366;0;0;0
Кения;12.01.2021;98432;81255;1716;98;154;3
Белиз;12.09.2020;1458;458;19;23;54;0
Австрия;11.02.2021;429139;407155;8138;1577;1234;24
Армения;02.02.2021;167231;158335;3089;143;535;5
Мальта;27.03.2021;28808;26763;385;93;283;3
Индонезия;20.04.2021;1614849;1468142;43777;5549;6728;210
Шри-Ланка;12.06.2021;221277;186516;2073;2911;2426;62
Эстония;15.12.2020;18682;11669;157;297;548;3
Перу;01.03.2021;1329805;1232528;123365;5942;6533;863
Намибия;27.07.2020;1843;101;8;68;26;0
Венгрия;06.08.2020;4597;3463;600;33;32;1
Палау;02.04.2021;0;0;0;0;0;0
Габон;17.11.2020;9084;8957;58;0;0;0
Латвия;30.08.2020;1393;1163;34;12;0;0
Словения;05.10.2020;6673;4265;156;175;0;1
ЮАР;20.10.2020;706304;639568;18656;1050;4311;164
Тринидад и Тобаго;10.09.2020;2698;755;43;110;6;4
Япония;27.04.2021;576391;508232;10075;4961;3650;63
Дания;12.10.2020;33304;27218;671;389;363;2
Буркина-Фасо;05.12.2020;3156;2697;68;65;10;0
Польша;21.05.2021;2863031;2618031;72691;1680;4011;191
Гана;11.12.2020;52738;51518;326;0;0;0
Республика Конго;19.09.2020;4986;3887;89;6;0;0
ДР Конго;16.02.2021;24423;15544;695;37;132;2
Кирибати;17.01.2021;0;0;0;0;0;0
Южный Судан;30.06.2020;2007;279;38;18;33;2
Гамбия;11.04.2021;5602;5145;168;0;0;0
Кабо-Верде;05.09.2020;4275;3611;42;75;49;1
Оман;04.02.2021;135041;127266;1532;185;97;0
Сан-Томе и Принсипи;17.10.2020;932;896;15;0;0;0
Руанда;02.09.2020;4218;2071;17;76;27;1
Исландия;02.06.2021;6586;6476;30;10;0;0
Marshall Islands;05.02.2021;4;4;0;0;0;0
Папский Престол;05.03.2021;27;15;0;0;0;0
Азербайджан;02.09.2020;36732;34116;538;154;139;2
Соломоновы острова;22.04.2021;20;18;0;0;0;0
Чили;18.10.2020;491760;463943;13635;1757;1231;47
Россия;06.12.2020;2439163;1920744;42675;28701;21270;447
Норвегия;27.03.2021;92469;17998;656;462;0;0
США;10.06.2021;33492974;"";598367;14436;"";418
Вьетнам;19.08.2020;994;533;25;5;7;-1
Малайзия;14.02.2021;264269;213813;956;2464;4525;8
Кот-д’Ивуар;05.01.2021;22855;22154;138;55;9;0
Уругвай;08.03.2021;64700;55638;658;863;777;7
Чад;27.12.2020;2005;1662;104;19;8;1
Коста-Рика;15.11.2020;123223;75341;1546;0;0;0
Сент-Люсия;05.05.2021;4585;4406;74;12;8;0
Кувейт;18.02.2021;181484;169406;1027;979;986;8
Марокко;25.04.2021;509363;495262;8992;326;390;4
Эритрея;08.07.2020;215;56;0;0;0;0
Багамские острова;19.01.2021;8068;6700;175;1;20;0
Израиль;16.09.2020;171138;123964;1217;4574;2850;26
Бруней;12.07.2020;141;138;3;0;0;0
Ирак;24.10.2020;449153;378209;10568;3204;3021;55
Колумбия;03.06.2021;3488046;3242060;90353;28624;23440;545
Киргизия;23.03.2021;87652;84339;1492;190;116;2
Финляндия;10.11.2020;18107;12700;363;220;0;0
Гватемала;17.02.2021;168880;155920;6164;777;709;6
Андорра;07.07.2020;855;800;52;0;0;0
Босния и Герцеговина;22.10.2020;37314;25989;1051;999;210;20
Тунис;08.12.2020;105445;80082;3668;1116;2284;72
Афганистан;09.11.2020;42159;34721;1562;126;263;6
Экваториальная Гвинея;21.01.2021;5365;5191;86;0;0;0
Сент-Винсент и Гренадины;14.08.2020;57;55;0;0;0;0
Вануату;23.06.2021;4;3;1;0;0;0
Боливия;22.10.2020;140445;106950;8584;217;620;26
Гвинея;18.08.2020;8715;7532;52;95;60;1
Молдавия;22.02.2021;177407;162595;3799;655;702;19
Египет;12.01.2021;151723;119635;8304;970;423;55
Бенин;22.02.2021;5434;4248;70;0;0;0
Сингапур;28.07.2020;51197;45893;27;359;201;0
Гайана;11.03.2021;8993;8230;206;65;19;1
Люксембург;07.05.2021;68153;64943;801;133;216;0
Греция;13.07.2020;3826;1374;193;23;0;0
Иран;23.07.2020;284034;247230;15074;2621;2390;221
Ангола;05.02.2021;20030;18431;474;34;50;1
Бангладеш;22.10.2020;394827;310532;5747;1696;1687;24
Монако;10.04.2021;2374;2230;31;5;10;0
Германия;10.06.2021;3718617;3568460;89693;2747;5320;101
Никарагуа;01.03.2021;6445;4225;173;0;0;0
Мозамбик;20.11.2020;14877;13053;121;154;204;1
Украина;19.04.2021;2006197;1536877;41755;6630;5615;221
Сальвадор;16.12.2020;42397;38481;1219;265;221;7
Замбия;23.01.2021;44592;34293;627;1259;1626;17
Мадагаскар;16.01.2021;18001;17447;267;0;0;0
Эсватини;17.04.2021;18415;17682;671;1;0;1
Аргентина;03.02.2021;1952744;1745208;48539;9196;6440;113
Канада;20.09.2020;146321;126592;9288;1184;608;2
ЦАР;20.07.2020;4548;1400;55;63;52;0
Филиппины;29.06.2020;36438;9956;1255;983;270;11
Бахрейн;01.04.2021;145380;136064;523;935;749;2
Ирландия;27.12.2020;86129;23364;2204;735;0;4
Тонга;01.04.2021;0;0;0;0;0;0
Сенегал;29.06.2020;6698;4341;108;112;50;3
Грузия;08.04.2021;286406;276084;3849;761;537;9
Черногория;05.01.2021;50054;40369;699;424;492;7
Самоа;27.01.2021;2;2;0;0;0;0
Антигуа и Барбуда;23.09.2020;97;92;3;1;0;0
Ботсвана;31.12.2020;14805;12136;42;105;130;2
Португалия;21.01.2021;595149;434237;9686;13544;5873;221
Йемен;02.01.2021;2101;1396;610;0;0;0
Катар;03.10.2020;126339;123302;216;175;194;1
Бурунди;17.12.2020;751;640;1;10;0;0
Малави;30.06.2020;1224;260;14;72;0;1
Сан-Марино;19.02.2021;3420;3070;72;26;35;0
Пакистан;24.08.2020;293261;276829;6244;0;0;0
Ямайка;26.08.2020;1804;846;19;72;6;0
Индия;11.03.2021;11308846;10953303;158306;23285;15157;117
Того;07.05.2021;13106;11580;124;38;195;1
Саудовская Аравия;10.02.2021;371356;362368;6415;369;306;5
Непал;31.12.2020;260593;252359;1856;534;447;9
Нигер;21.05.2021;5364;5027;192;3;1;0
Лихтенштейн;19.07.2020;87;83;1;0;0;0
Ливия;08.01.2021;104002;79193;1568;487;925;10
Новая Зеландия;04.06.2021;2683;2639;26;0;0;0
Суринам;26.11.2020;5307;5185;117;2;1;0
Гаити;14.11.2020;9168;7701;232;16;0;0
Беларусь;05.09.2020;72663;71843;705;178;333;4
Куба;01.08.2020;2633;2367;87;25;12;0
Швейцария;18.07.2020;33492;29900;1815;110;0;0
Литва;27.07.2020;2014;1640;63;11;6;0
Австралия;01.05.2021;29824;23308;910;13;14;0
Ливан;27.10.2020;73995;36797;590;1809;1252;11
Зимбабве;19.02.2021;35710;31972;1430;167;151;10
Сербия;26.06.2021;716238;0;7029;66;0;5
Мальдивы;26.03.2021;23237;20529;66;146;90;0
Сирия;18.07.2020;496;144;25;0;0;0
Марокко;15.04.2021;504260;490366;8927;596;438;7
Багамские острова;09.01.2021;7969;6313;175;0;0;0
Румыния;17.07.2020;35802;22312;1988;799;123;17
Сент-Люсия;31.05.2021;5067;4799;79;14;0;2
Коста-Рика;09.11.2020;117587;72249;1491;1224;1130;27
Финляндия;04.11.2020;16930;12700;361;293;1400;2
Косово и Метохия;09.06.2021;107125;104238;2252;26;266;2
Бруней;02.02.2021;180;170;3;0;0;0
Израиль;25.08.2020;106861;82554;877;1956;880;19
Киргизия;17.03.2021;87143;84031;1485;98;51;0
Колумбия;12.05.2021;3048719;2859627;79261;16993;11474;490
Ирак;28.09.2020;353566;284784;9052;4116;4111;62
Италия;27.06.2021;4258069;4073435;127472;780;1336;14
Оман;26.02.2021;140588;131684;1562;0;0;0
Кабо-Верде;11.09.2020;4651;4076;44;94;83;1
Чили;26.09.2020;455979;430259;12591;2111;1679;64
Соломоновы острова;12.04.2021;19;18;0;0;0;0
Азербайджан;08.09.2020;37557;34965;552;139;128;1
Чад;01.12.2020;1700;1532;102;12;7;1
Уругвай;30.03.2021;102461;81438;953;2877;2028;25
Малайзия;08.02.2021;245552;192678;896;3100;2340;24
Вьетнам;28.07.2020;446;369;0;15;4;0
Кот-д’Ивуар;15.01.2021;24856;23104;141;278;248;1
Норвегия;05.03.2021;74183;17998;632;690;0;0
Руанда;20.12.2020;7293;6091;63;61;2;4
Россия;16.09.2020;1075485;887457;18853;5612;5764;130
Сан-Томе и Принсипи;25.09.2020;911;881;15;1;0;0
Нидерланды;27.03.2021;1263882;15779;16592;9160;126;31
Marshall Islands;27.02.2021;4;4;0;0;0;0
Папский Престол;27.03.2021;27;15;0;0;0;0
Исландия;11.05.2021;6522;6409;29;3;19;0
Перу;03.02.2021;1158337;1069129;105627;15621;11984;745
Палау;07.03.2021;0;0;0;0;0;0
Венгрия;31.07.2020;4505;3353;596;21;7;0
Намибия;18.08.2020;4464;2407;37;120;28;1
Индонезия;14.04.2021;1583182;1431892;42906;5656;5747;124
Эстония;05.12.2020;14500;8919;126;561;370;1
Южная Корея;17.07.2020;13711;12519;294;39;59;1
Республика Конго;28.08.2020;3979;1742;78;0;0;0
Гана;17.12.2020;53553;52266;331;167;218;4
Южный Судан;06.07.2020;2021;333;38;0;0;0
Кирибати;11.01.2021;0;0;0;0;0;0
Латвия;23.12.2020;33484;22523;479;1145;707;20
ДР Конго;06.02.2021;23485;15107;679;114;22;1
Словения;15.10.2020;10683;5689;176;745;174;1
Габон;07.11.2020;9022;8878;55;0;0;0
Буркина-Фасо;15.12.2020;4300;2940;73;91;0;2
Тринидад и Тобаго;31.08.2020;1759;676;22;76;4;1
ЮАР;24.09.2020;667049;595916;16283;1861;1687;77
Дания;02.10.2020;29418;22270;652;536;518;1
Судно "MS Zaandam";27.11.2020;9;0;2;0;0;0
Мавритания;21.02.2021;17095;16396;434;12;20;0
Северная Македония;21.10.2020;24836;17905;862;640;232;12
Китай;13.08.2020;89625;83254;4707;99;171;3
Таджикистан;20.09.2020;9303;8108;73;44;42;0
Хорватия;15.06.2021;358677;349750;8160;96;168;8
Белиз;06.09.2020;1194;287;15;0;0;0
Кения;18.01.2021;99227;82427;1734;65;-923;3
Армения;28.02.2021;172058;163394;3192;265;85;2
Австрия;21.02.2021;445374;420509;8386;1838;1226;18
Судно "Diamond Princess";01.06.2021;712;699;13;0;0;0
Болгария;29.04.2021;403728;338312;16368;1237;2881;90
Доминиканская Республика;26.08.2020;92557;63478;1613;340;1018;28
Афганистан;21.04.2021;58214;52301;2557;177;29;8
ОАЭ;03.06.2021;576947;556549;1689;1989;1960;3
Бельгия;24.06.2021;1081908;0;25152;847;0;3
Чехия;29.03.2021;1516772;1342113;26036;1743;26542;162
Мьянма;29.09.2020;12425;3391;284;794;318;28
Ливан;06.09.2020;20426;6139;191;415;271;4
Зимбабве;14.08.2020;5072;1998;128;82;71;0
Иордания;08.06.2021;741101;722807;9549;599;912;8
Сирия;13.01.2021;12660;6259;799;102;74;9
Литва;09.02.2021;187421;172363;2972;382;1083;17
Куба;04.02.2021;30345;24468;225;816;774;5
Швейцария;13.01.2021;490358;317600;8709;3001;0;63
Беларусь;28.10.2020;95545;84690;969;936;453;4
Египет;24.06.2021;279184;208192;16002;423;781;35
Фиджи;27.05.2021;314;159;4;28;4;0
Танзания;04.03.2021;509;183;21;0;0;0
Ангола;31.05.2021;34551;28079;766;185;313;2
Албания;03.06.2021;132360;129566;2451;9;45;0
Люксембург;01.03.2021;55480;52019;639;370;532;2
Сьерра-Леоне;30.04.2021;4054;3076;79;1;1;0
Сент-Китс и Невис;19.06.2021;330;73;1;26;3;0
Эфиопия;03.06.2021;272285;243378;4185;249;936;7
Micronesia;04.04.2021;1;1;0;0;0;0
Гайана;16.12.2020;6016;5185;158;43;41;2
Монако;20.11.2020;577;504;3;4;7;0
Пакистан;09.11.2020;346476;319431;7000;1637;550;23
Сан-Марино;14.08.2020;719;657;42;0;0;0
Суринам;06.10.2020;4965;4766;106;11;11;0
Мадагаскар;20.06.2021;42123;40450;901;36;25;5
Лаос;11.03.2021;48;42;0;1;0;0
Гаити;16.09.2020;8499;6258;219;6;77;0
Лихтенштейн;16.01.2021;2446;2264;50;4;0;0
Саудовская Аравия;22.07.2020;258156;210398;2601;2331;3139;44
Непал;03.07.2020;15259;6143;32;740;823;1
Уганда;28.12.2020;33973;11297;248;162;117;0
Замбия;13.06.2021;111746;97756;1389;1414;1110;24
Ботсвана;03.07.2020;277;29;1;50;1;0
Грузия;18.11.2020;89395;71468;815;3443;2539;37
Черногория;27.06.2021;100190;98308;1609;22;28;0
Катар;03.12.2020;139477;136741;239;221;228;0
Бурунди;17.10.2020;536;497;1;5;0;0
Таиланд;08.03.2021;26441;25777;85;0;0;0
Маврикий;13.04.2021;1198;797;15;5;0;0
Филиппины;04.01.2021;478761;448279;9263;954;21;6
Узбекистан;24.10.2020;64923;62033;544;199;76;2
Португалия;11.06.2021;855951;814318;17044;519;295;1
Франция;04.03.2021;3895387;269474;87987;25286;1401;293
ЦАР;15.01.2021;4973;4885;63;0;0;0
Восточный Тимор;10.01.2021;49;41;0;0;1;0
Самоа;08.07.2020;0;0;0;0;0;0
Антигуа и Барбуда;09.12.2020;146;138;4;0;4;0
Сенегал;04.01.2021;19803;17615;424;106;100;3
Ирландия;11.10.2020;42528;23364;1826;814;0;2
Доминика;18.06.2021;191;189;0;0;0;0
Никарагуа;08.08.2020;3902;2913;123;0;0;0
Мозамбик;14.09.2020;5482;3024;35;213;64;0
Сальвадор;18.10.2020;31666;27000;922;210;231;5
Бутан;14.03.2021;868;866;1;0;0;0
Бангладеш;12.12.2020;489178;417503;7020;1329;3185;34
Аргентина;29.07.2020;178996;77855;3288;5641;2772;109
Кипр;29.04.2021;65534;39061;307;845;0;3
Сингапур;08.02.2021;59721;59484;29;22;51;0
Бенин;11.08.2020;2001;1681;38;65;81;0
Алжир;27.05.2021;127926;89040;3448;280;179;8
Гвинея-Бисау;23.06.2021;3839;3567;69;5;2;0
Иран;13.02.2021;1510873;1291726;58883;7120;6712;74
Камбоджа;23.03.2021;1817;1033;5;29;34;1
Экваториальная Гвинея;10.07.2020;3071;842;51;0;0;0
Сент-Винсент и Гренадины;19.02.2021;1494;758;6;32;126;0
Сербия;06.01.2021;352120;0;3444;2882;0;39
Тунис;24.09.2020;13305;5032;180;826;2646;6
Лесото;07.07.2020;91;11;0;0;0;0
Андорра;28.01.2021;9779;8942;100;63;91;2
Босния и Герцеговина;12.12.2020;100306;65289;3298;763;1556;48
Гватемала;20.08.2020;65983;54351;2506;1102;989;39
Молдавия;11.08.2020;28223;19740;857;382;440;7
Словакия;11.03.2021;331571;255300;8244;1978;0;98
Боливия;12.12.2020;147030;126092;9014;333;206;1
Summer Olympics 2020;30.07.2020;0;0;0;0;0;0
Армения;09.08.2020;40410;32520;791;225;125;6
Австрия;16.08.2020;23370;20681;728;191;54;0
Коморские острова;18.03.2021;3657;3465;146;5;6;0
Кения;13.07.2020;10294;2946;197;189;65;12
Белиз;27.10.2020;3200;2031;51;55;70;1
Испания;18.03.2021;3212332;150376;72910;6216;0;117
Барбадос;25.03.2021;3593;3404;40;11;3;0
Доминиканская Республика;03.11.2020;127848;105982;2252;257;348;2
Мали;30.05.2021;14265;9700;517;0;10;0
Бразилия;02.01.2021;7716405;6893256;195725;15827;37884;314
Бруней;30.05.2021;241;228;3;0;0;0
Казахстан;03.05.2021;383164;333578;6758;2086;1416;0
Папуа — Новая Гвинея;09.01.2021;811;755;9;0;0;0
Судно "MS Zaandam";05.10.2020;9;0;2;0;0;0
Италия;05.01.2021;2181619;1536129;76329;15375;16023;649
Таджикистан;10.11.2020;11376;10763;83;40;52;0
Китай;24.02.2021;101778;96361;4843;28;136;1
Северная Македония;13.12.2020;73638;49414;2121;613;688;25
ДР Конго;26.07.2020;8831;5510;204;30;205;0
Гамбия;29.09.2020;3579;2161;112;10;0;1
Южный Судан;25.01.2021;3788;3542;64;0;0;0
Гана;17.10.2020;47232;46578;310;59;51;0
Южная Корея;14.01.2021;71241;56536;1217;513;764;22
Республика Конго;05.11.2020;5348;3887;92;0;0;0
ЮАР;08.12.2020;821889;753072;22432;4011;7322;183
Дания;30.11.2020;81002;64031;837;1130;1001;8
Тринидад и Тобаго;29.10.2020;5636;4293;107;42;47;0
Буркина-Фасо;23.10.2020;2433;1996;65;19;127;0
Габон;22.08.2020;8388;6734;53;0;0;0
Словения;23.12.2020;109934;90100;2454;2129;2140;36
Венесуэла;25.03.2021;154165;142909;1532;850;528;11
Руанда;07.03.2021;19551;17840;268;42;30;1
Намибия;15.02.2021;36225;34261;389;273;120;1
Венгрия;05.02.2021;373564;275764;12930;1576;1456;98
Перу;29.07.2020;400683;280044;54794;5678;3592;612
Эстония;27.09.2020;3200;2506;64;35;7;0
Нидерланды;30.11.2020;531930;6947;9453;4594;26;27
Вьетнам;08.02.2021;2050;1472;35;49;0;0
Кот-д’Ивуар;20.07.2020;14312;8659;92;193;293;0
Малайзия;28.07.2020;8943;8606;124;39;6;0
Чад;01.10.2020;1203;1067;85;3;60;0
Азербайджан;22.11.2020;93094;63841;1131;3196;1598;24
Нигерия;20.05.2021;165901;156459;2067;49;3;0
Чили;10.12.2020;566440;540288;15774;1662;1117;84
Marshall Islands;06.08.2020;0;0;0;0;0;0
Сан-Томе и Принсипи;11.12.2020;1009;947;17;0;1;0
Латвия;08.03.2021;90525;80247;1699;194;1740;4
Япония;15.10.2020;91393;83272;1650;708;696;3
Оман;07.08.2020;81067;72263;502;354;1353;10
Эквадор;13.06.2021;438934;398645;21048;826;0;30
Монголия;17.05.2021;49524;42721;221;349;1821;7
Польша;19.07.2020;40104;30292;1624;358;368;6
Сейшельские острова;17.03.2021;3315;2957;16;0;17;0
Кабо-Верде;19.11.2020;10082;9557;104;82;73;0
Судан;09.05.2021;34461;27247;2365;0;0;0
Камерун;20.04.2021;64809;35261;939;0;0;0
Мавритания;15.05.2021;18806;18056;457;25;32;0
Финляндия;29.08.2020;8049;7200;335;7;0;0
Панама;20.08.2020;83855;59174;1844;101;900;17
Ирак;04.12.2020;560622;489772;12387;1855;1909;26
Израиль;08.11.2020;319417;306868;2683;534;688;7
Джибути;17.06.2021;11585;11416;154;8;3;0
Гренада;14.05.2021;161;160;1;0;0;0
Эритрея;01.01.2021;1320;643;3;0;0;0
Румыния;14.01.2021;684917;614545;17035;3525;4423;66
Парагвай;09.05.2021;297789;246680;7130;1483;1885;80
Турция;03.01.2021;2241912;2136534;21488;9877;10102;193
Швеция;17.07.2020;74235;0;5619;299;0;26
Мальта;14.09.2020;2405;1890;16;53;18;1
Коста-Рика;24.08.2020;34463;12758;362;643;2240;7
Иран;19.02.2021;1558159;1331162;59341;8017;6931;77
Гвинея-Бисау;17.06.2021;3819;3553;69;9;2;0
Камбоджа;17.03.2021;1541;898;1;36;58;0
Бенин;05.08.2020;1936;1600;38;22;564;0
Сингапур;14.02.2021;59800;59621;29;14;17;0
Алжир;17.05.2021;125485;87476;3381;174;117;7
Словакия;21.03.2021;348869;255300;9044;925;0;66
Молдавия;05.08.2020;26222;18167;823;408;0;13
Сербия;16.08.2020;29682;0;674;211;0;4
Боливия;06.12.2020;145560;124799;8995;68;203;3
Лесото;30.01.2021;8649;2552;164;39;40;1
Summer Olympics 2020;23.01.2021;0;0;0;0;0;0
Тунис;20.10.2020;44450;5032;711;1723;0;24
Сент-Винсент и Гренадины;13.02.2021;1418;554;6;48;87;0
Экваториальная Гвинея;04.07.2020;3071;842;51;0;0;0
Гватемала;25.07.2020;44492;31045;1699;1209;895;30
