"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Чад;29.03.2021;4510;4110;164;4;1;2
Норвегия;25.12.2020;46248;17998;421;317;0;0
США;28.12.2020;19479228;"";340878;168148;"";1877
Кот-д’Ивуар;18.06.2021;47973;47346;306;0;0;0
Сейшельские острова;21.10.2020;148;148;0;0;0;0
Бруней;27.03.2021;206;188;3;0;0;0
Монголия;21.08.2020;298;288;0;0;5;0
Эквадор;09.07.2020;64221;29184;4900;976;113;27
Оман;07.05.2021;199344;181696;2083;0;0;0
Италия;02.11.2020;731588;296017;39059;22253;3637;233
Джибути;13.07.2020;4977;4729;56;5;17;0
Гренада;16.08.2020;24;23;0;0;0;0
Гамбия;27.07.2020;326;66;8;49;6;2
Киргизия;13.12.2020;77356;70450;1312;297;656;5
Колумбия;23.02.2021;2233589;2129491;59118;3926;4796;144
Финляндия;23.04.2021;85344;46000;903;267;0;1
Косово и Метохия;26.01.2021;58399;51083;1466;0;0;0
Судан;13.08.2020;12162;6305;792;47;23;6
Камерун;24.08.2020;18762;16540;408;0;0;0
Коста-Рика;20.04.2021;231967;199166;3104;1130;1324;5
Сент-Люсия;02.02.2021;1470;705;16;59;79;1
Гондурас;29.06.2020;18818;1961;485;736;86;6
Руанда;10.05.2021;25714;24155;338;62;2;0
Нидерланды;02.02.2021;998924;13046;14218;3624;72;83
Марокко;12.11.2020;276821;226040;4570;6195;4297;64
Парагвай;13.08.2020;8389;5516;97;371;132;4
Багамские острова;24.06.2021;12407;11393;244;0;0;0
Мальдивы;02.12.2020;13070;12001;47;21;33;0
Узбекистан;21.08.2020;38074;33989;260;527;728;8
Португалия;08.04.2021;825633;782895;16899;602;601;9
Иордания;06.07.2020;1167;957;10;3;15;0
Зимбабве;16.05.2021;38560;36329;1582;6;11;0
Ливан;01.05.2021;527508;464660;7302;930;3538;24
Чехия;01.10.2020;74255;34186;678;3492;743;23
ОАЭ;04.08.2020;61352;55090;351;189;227;0
Micronesia;09.09.2020;0;0;0;0;0;0
Австралия;27.10.2020;27553;22072;907;14;7;2
Сент-Китс и Невис;19.07.2020;17;15;0;0;0;0
Сьерра-Леоне;30.08.2020;2022;1594;70;3;3;0
Эфиопия;04.08.2020;19877;8240;343;588;309;7
Албания;04.08.2020;5750;3031;176;130;0;4
Танзания;10.10.2020;509;183;21;0;0;0
Фиджи;26.07.2020;27;18;0;0;0;0
Саудовская Аравия;23.05.2021;440914;424690;7249;1067;895;12
Лаос;19.10.2020;23;22;0;0;0;0
Нигер;12.02.2021;4678;4135;169;13;35;2
Ливия;27.06.2021;192470;177600;3187;341;242;2
Новая Зеландия;29.01.2021;2303;2207;25;-2;-1;0
Суринам;01.04.2021;9122;8598;177;0;0;0
Гаити;13.04.2021;12855;11513;251;15;0;-1
Сан-Марино;16.05.2021;5087;4968;90;0;0;0
Индия;19.12.2020;10031223;9580402;145477;26624;29690;341
Того;26.02.2021;6730;5522;82;93;33;0
Бурунди;13.03.2021;2441;773;3;21;0;0
Сербия;03.11.2020;51083;0;844;1878;0;11
Лесото;09.09.2020;1164;528;31;16;0;0
Summer Olympics 2020;02.10.2020;0;0;0;0;0;0
Бахрейн;26.11.2020;86347;84510;341;162;175;1
Мьянма;27.07.2020;350;292;6;0;2;0
Тонга;26.11.2020;0;0;0;0;0;0
Ирландия;03.03.2021;221189;23364;4357;559;0;24
Афганистан;24.06.2021;109532;66799;4452;1575;697;86
Самоа;06.06.2021;3;3;0;0;0;0
Франция;10.10.2020;761384;103232;32684;26677;0;35
Таиланд;14.10.2020;3665;3463;59;13;6;0
Маврикий;16.09.2020;365;338;10;0;0;0
Египет;21.04.2021;218902;164803;12866;861;435;46
Кипр;31.08.2020;1487;1139;21;4;204;0
Аргентина;01.06.2021;3817139;3381337;78733;35355;30735;640
Эсватини;10.11.2020;6024;5737;117;11;5;0
Германия;23.01.2021;2137691;1826161;51873;12430;12267;160
Гайана;18.02.2021;8338;7629;189;25;110;0
Бутан;24.10.2020;340;306;0;4;0;0
Ангола;28.03.2021;22063;20289;533;32;20;0
Мозамбик;07.04.2021;68431;58063;785;139;137;0
Никарагуа;06.05.2021;6989;4225;183;0;0;0
Украина;08.11.2020;474245;215357;8695;9647;2808;142
